tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0000359,"['Comedy', 'Fantasy', 'Science Fiction']",L'Homme à la tête de caoutchouc,1901-01-01,7.6,29,"['nm0617588', 'actor']"
tt0000364,[],Panorama of Esplanade by Night,1901-11-11,10.0,1,"['nm0692105', 'director']","['nm0924920', 'cinematographer']"
tt0000417,"['Adventure', 'Fantasy', 'Science Fiction']",Le Voyage dans la Lune,1902-09-01,7.9,314,"['nm0617588', 'actor']","['nm0029244', 'actor']","['nm0076933', 'actress']","['nm1215996', 'actor']","['nm0894523', 'writer']","['nm0920229', 'writer']","['nm0242155', 'composer']","['nm0324073', 'composer']","['nm4491570', 'composer']"
tt0000439,"['Action', 'Adventure', 'Western']",The Great Train Robbery,1903-12-01,7.1,116,"['nm0302368', 'actor']","['nm0001908', 'actor']","['nm0007625', 'actor']","['nm0055607', 'actor']","['nm0055661', 'actor']","['nm0692105', 'director']","['nm1145809', 'writer']","['nm0807466', 'cinematographer']","['nm0131750', 'actor']","['nm2313241', 'actor']"
tt0000488,"['Fantasy', 'Drama']",The Land Beyond the Sunset,1912-10-28,7.0,5,"['nm0177886', 'actor']","['nm0298300', 'actor']","['nm0065035', 'actress']","['nm0250480', 'actor']","['nm0422465', 'actress']","['nm0789748', 'director']","['nm0794919', 'writer']","['nm0588295', 'actress']","['nm1096358', 'actress']","['nm0259860', 'actress']"
tt0000499,"['Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",Voyage à travers l'impossible,1904-10-01,7.1,32,"['nm0617588', 'actor']","['nm0016317', 'actress']","['nm0194945', 'actress']","['nm8706003', 'actress']","['nm0894523', 'writer']","['nm0257866', 'writer']"
tt0001527,['Animation'],Mest kinematograficheskogo operatora (Cameraman's Revenge),1912-10-27,7.2,22,"['nm0823088', 'director']","['nm0151946', 'producer']","['nm0925404', 'composer']"
tt0003014,['Drama'],Ingeborg Holm,1913-10-27,7.8,5,"['nm0526234', 'actor']","['nm0096737', 'actress']","['nm0511806', 'actor']","['nm0511903', 'actor']","['nm0344981', 'actor']","['nm0803705', 'director']","['nm0472236', 'writer']","['nm1972946', 'composer']","['nm0415403', 'cinematographer']","['nm0489296', 'actor']"
tt0005622,"['Fantasy', 'Drama', 'Animation', 'War']",Liliya Belgii,1915-10-10,7.0,3,"['nm0823089', 'actress']","['nm1742621', 'actor']","['nm0823088', 'director']"
tt0005960,"['Romance', 'Crime', 'Drama']",Regeneration,1915-09-12,7.5,6,"['nm0271503', 'actor']","['nm0632160', 'actress']","['nm0790704', 'actor']","['nm0564882', 'actor']","['nm0909825', 'director']","['nm0452976', 'writer']","['nm0361882', 'writer']","['nm0352506', 'writer']","['nm0072301', 'cinematographer']"
tt0006145,['Comedy'],That Little Band Of Gold,1915-03-14,7.0,1,"['nm0153713', 'actor']","['nm0000779', 'actor']","['nm0635667', 'actress']","['nm0827509', 'actor']","['nm0202562', 'actress']","['nm0020914', 'actress']","['nm0035187', 'actor']","['nm0080930', 'actor']","['nm0138276', 'actress']","['nm0147070', 'actor']"
tt0006589,['Drama'],The Devil's Needle,1916-08-12,7.0,1,"['nm0494094', 'actor']","['nm0551222', 'actor']","['nm0848232', 'actress']","['nm0550619', 'actress']","['nm0877548', 'actor']","['nm0936767', 'director']","['nm0813905', 'writer']","['nm8362885', 'composer']","['nm0310844', 'actor']","['nm0107317', 'actor']"
tt0006864,['Drama'],Intolerance: Love's Struggle Throughout the Ages,1916-09-04,7.4,63,"['nm1578667', 'writer']","['nm0001273', 'actress']","['nm0366008', 'actor']","['nm0550615', 'actress']","['nm0877548', 'actor']","['nm0000428', 'director']","['nm0048512', 'writer']","['nm0115218', 'writer']","['nm0002616', 'writer']","['nm0640437', 'writer']"
tt0006886,['Adventure'],Judex,1916-12-16,7.0,4,"['nm0307872', 'production_designer']","['nm0187612', 'actor']","['nm0615736', 'actress']","['nm0100270', 'actor']","['nm0559013', 'actor']","['nm0275421', 'director']","['nm0077220', 'writer']","['nm0004592', 'composer']","['nm0322134', 'cinematographer']","['nm0458451', 'cinematographer']"
tt0007047,"['Romance', 'Comedy']",The Matrimaniac,1916-12-16,7.0,2,"['nm0281808', 'cinematographer']","['nm0001196', 'actor']","['nm0848226', 'actress']","['nm0383278', 'actor']","['nm0912833', 'actor']","['nm0694260', 'director']","['nm0169665', 'writer']","['nm0256221', 'writer']","['nm0317476', 'writer']","['nm0002616', 'writer']"
tt0007613,['Comedy'],The Adventurer,1917-10-22,7.0,25,"['nm0171035', 'actor']","['nm0000122', 'actor']","['nm0701012', 'actress']","['nm0132444', 'actor']","['nm0074788', 'actor']","['nm0117018', 'writer']","['nm1176713', 'writer']","['nm0042317', 'actor']","['nm0020914', 'actress']","['nm0068419', 'actor']"
tt0007880,['Comedy'],Easy Street,1917-01-22,7.0,31,"['nm0000122', 'actor']","['nm0701012', 'actress']","['nm0132444', 'actor']","['nm0042317', 'actor']","['nm0117018', 'writer']","['nm1176713', 'writer']"
tt0008133,"['Comedy', 'Drama']",The Immigrant,1917-06-17,7.5,55,"['nm0000122', 'actor']","['nm0701012', 'actress']","['nm0132444', 'actor']","['nm0042317', 'actor']","['nm0117018', 'writer']","['nm1176713', 'writer']","['nm0005906', 'cinematographer']","['nm1295653', 'cinematographer']"
tt0008775,"['Drama', 'Action', 'Comedy']",Wild and Woolly,1917-06-24,7.0,2,"['nm0001196', 'actor']","['nm0672907', 'actress']","['nm0141507', 'actor']","['nm0828314', 'actor']","['nm0256221', 'director']","['nm0139356', 'writer']","['nm0002616', 'writer']","['nm0281808', 'cinematographer']"
tt0008879,['Drama'],Berg-Ejvind och hans hustru,1918-01-01,7.6,7,"['nm0803705', 'actor']","['nm0258611', 'actress']","['nm0252476', 'actor']","['nm0014363', 'actor']","['nm0039377', 'writer']","['nm2642082', 'writer']","['nm0536368', 'producer']","['nm0005748', 'cinematographer']","['nm0260081', 'production_designer']"
tt0009018,['Comedy'],A Dog's Life,1918-04-14,7.1,46,"['nm0152260', 'actor']","['nm0000122', 'actor']","['nm0701012', 'actress']","['nm0026342', 'actor']","['nm0032468', 'actor']","['nm0042317', 'actor']","['nm0074788', 'actor']","['nm0086461', 'actor']","['nm0114253', 'actor']","['nm0152250', 'actress']"
